DATE,PRICE,OPEN,HIGH,LOW,VOLUME,CHANGE(%)
27 Dec 2024,799.65,816.30,818.30,797.20,10649800,-1.58%
26 Dec 2024,812.45,813.00,822.85,808.00,8318714,0.05%
24 Dec 2024,812.05,824.25,826.20,809.20,10602771,-1.11%
23 Dec 2024,821.15,817.30,824.00,812.20,4933200,1.13%
20 Dec 2024,812.00,834.90,836.00,810.00,10244198,-2.50%
19 Dec 2024,832.80,824.60,838.00,820.20,9453398,-0.64%
18 Dec 2024,838.15,851.00,852.00,837.00,8295338,-1.46%
17 Dec 2024,850.55,858.55,862.60,847.05,8791216,-1.21%
16 Dec 2024,860.95,859.80,866.40,857.80,6432713,-0.07%
13 Dec 2024,861.55,852.60,862.90,835.00,9379370,0.92%
12 Dec 2024,853.70,861.50,864.30,851.15,8845103,-0.92%
11 Dec 2024,861.60,867.50,869.85,860.95,7006973,-0.68%
10 Dec 2024,867.50,861.80,868.95,858.05,7379849,1.10%
09 Dec 2024,858.05,859.00,866.85,856.95,9630346,-0.65%
06 Dec 2024,863.65,865.25,875.45,857.00,14520568,-0.21%
05 Dec 2024,865.45,860.00,871.45,855.60,14716036,0.67%
04 Dec 2024,859.70,853.95,864.00,850.30,10749716,0.67%
03 Dec 2024,853.95,838.00,856.60,836.90,12186182,2.10%
02 Dec 2024,836.40,838.95,842.00,832.70,6651119,-0.30%
29 Nov 2024,838.95,841.10,844.05,831.55,10822949,0.01%
28 Nov 2024,838.85,834.10,845.80,830.50,13505677,0.57%
27 Nov 2024,834.10,838.50,842.50,832.10,8375108,-0.63%
26 Nov 2024,839.40,844.00,846.70,835.55,8893744,-0.60%
25 Nov 2024,844.45,827.00,849.60,825.65,23434605,3.48%
22 Nov 2024,816.05,786.00,819.95,784.05,20665405,4.52%
21 Nov 2024,780.75,798.50,798.50,761.55,29486577,-2.77%
19 Nov 2024,803.00,819.00,820.30,800.10,13677029,-1.39%
18 Nov 2024,814.30,811.00,816.70,799.25,9322451,1.25%
14 Nov 2024,804.25,808.65,818.00,801.05,9461484,-0.54%
13 Nov 2024,808.65,823.35,831.75,804.65,13756706,-2.18%
12 Nov 2024,826.70,852.50,853.40,824.30,11350729,-2.47%
11 Nov 2024,847.65,846.00,854.00,842.00,12621337,0.53%
08 Nov 2024,843.15,859.60,863.50,834.20,26139105,-1.91%
07 Nov 2024,859.60,861.00,862.40,846.70,15283847,0.56%
06 Nov 2024,854.80,849.20,861.40,846.20,15002433,0.66%
05 Nov 2024,849.20,829.85,851.40,826.25,26254561,2.33%
04 Nov 2024,829.85,822.70,837.50,807.10,14498161,1.05%
01 Nov 2024,821.20,822.40,825.60,818.90,1637141,0.12%
31 Oct 2024,820.20,820.00,828.00,813.55,13402324,-0.27%
30 Oct 2024,822.45,828.00,833.00,821.05,15977682,-1.23%
29 Oct 2024,832.70,796.00,834.85,790.50,28274791,5.13%
28 Oct 2024,792.05,783.80,803.95,783.55,13757251,1.42%
25 Oct 2024,780.95,798.00,800.75,772.00,9717125,-1.71%
24 Oct 2024,794.55,786.05,797.00,784.65,5607500,1.09%
23 Oct 2024,786.00,790.00,792.60,779.80,13866198,-0.56%
22 Oct 2024,790.40,814.00,816.85,787.50,16645356,-2.89%
21 Oct 2024,813.95,824.70,826.45,809.00,10359618,-0.79%
18 Oct 2024,820.40,811.10,822.60,802.90,11704698,1.15%
17 Oct 2024,811.05,809.50,819.50,806.00,18580553,0.70%
16 Oct 2024,805.45,802.80,809.00,802.05,6494240,0.10%
15 Oct 2024,804.65,805.50,807.50,801.60,6252104,-0.06%
14 Oct 2024,805.15,802.00,809.25,800.80,8967564,0.68%
11 Oct 2024,799.75,797.20,802.70,793.00,14322720,0.33%
10 Oct 2024,797.10,799.00,804.45,795.00,10241015,-0.04%
09 Oct 2024,797.40,786.70,804.35,782.05,18758697,2.04%
08 Oct 2024,781.45,772.25,784.40,772.25,8560960,1.40%
07 Oct 2024,770.65,800.00,804.00,765.40,24267990,-3.26%
04 Oct 2024,796.65,792.00,809.85,785.25,20097454,0.32%
03 Oct 2024,794.10,789.90,804.00,784.30,15944135,-0.36%
01 Oct 2024,796.95,788.00,800.35,788.00,13280535,1.15%
30 Sep 2024,787.90,801.90,802.60,786.45,15484573,-1.84%
27 Sep 2024,802.65,801.85,808.00,798.45,15193681,0.10%
26 Sep 2024,801.85,796.00,803.00,791.60,23198842,1.10%
25 Sep 2024,793.10,797.90,798.00,788.70,18465571,-0.65%
24 Sep 2024,798.25,799.25,804.25,796.50,15180653,-0.45%
23 Sep 2024,801.85,786.00,805.00,784.50,17309545,2.58%
20 Sep 2024,781.70,794.85,794.85,779.50,21372244,-1.04%
19 Sep 2024,789.95,795.05,801.35,784.05,10645478,-0.35%
18 Sep 2024,792.75,783.80,794.75,782.00,18324412,1.26%
17 Sep 2024,782.90,785.60,787.50,780.55,10665630,-0.34%
16 Sep 2024,785.55,790.85,795.00,784.40,9553736,-0.67%
13 Sep 2024,790.85,791.00,795.00,785.10,12950936,0.39%
12 Sep 2024,787.75,775.00,789.90,772.75,17578964,2.49%
11 Sep 2024,768.60,780.05,788.00,765.40,20060665,-1.80%
10 Sep 2024,782.65,788.00,788.80,777.50,12824701,-0.20%
09 Sep 2024,784.25,785.00,788.20,771.00,21322103,0.22%
06 Sep 2024,782.50,811.50,812.90,777.00,40220096,-4.43%
05 Sep 2024,818.75,818.35,822.15,814.40,8395074,0.28%
04 Sep 2024,816.50,815.45,818.65,813.65,10789570,-1.01%
03 Sep 2024,824.80,822.15,825.95,816.40,10548350,0.32%
02 Sep 2024,822.15,817.30,825.40,813.05,11813750,0.80%
30 Aug 2024,815.60,817.15,820.70,814.35,8911426,0.14%
29 Aug 2024,814.50,809.55,816.00,806.95,18247268,0.63%
28 Aug 2024,809.40,814.75,817.20,806.50,10371300,-0.80%
27 Aug 2024,815.90,817.80,819.45,811.05,12833290,0.10%
26 Aug 2024,815.05,818.00,823.45,813.80,8523795,-0.04%
23 Aug 2024,815.35,821.50,822.00,814.50,5537747,-0.60%
22 Aug 2024,820.30,819.00,823.90,817.10,7832917,0.58%
21 Aug 2024,815.55,820.30,821.00,811.20,14607257,-0.58%
20 Aug 2024,820.30,817.95,823.00,813.35,10347493,0.81%
19 Aug 2024,813.70,815.00,825.40,812.60,10151482,0.20%
16 Aug 2024,812.10,803.00,814.90,803.00,11427335,1.13%
14 Aug 2024,803.00,800.95,809.15,800.40,11788665,0.68%
13 Aug 2024,797.55,813.50,820.00,795.05,17585172,-1.85%
12 Aug 2024,812.60,820.60,823.00,811.20,16120449,-1.42%
09 Aug 2024,824.30,816.00,829.95,809.55,15320885,2.01%
08 Aug 2024,808.05,812.00,817.80,802.80,14769069,-0.07%
07 Aug 2024,808.65,809.00,810.70,800.55,17692355,1.37%
06 Aug 2024,797.70,822.65,826.55,795.65,17900930,-1.72%
05 Aug 2024,811.65,830.00,831.35,800.00,27676951,-4.27%
02 Aug 2024,847.85,856.70,858.30,846.15,12609331,-1.72%
01 Aug 2024,862.65,877.80,881.40,859.45,11787203,-1.12%
31 Jul 2024,872.40,873.85,874.95,868.00,11636874,-0.05%
30 Jul 2024,872.80,874.70,880.55,869.00,13528447,0.14%
29 Jul 2024,871.60,866.05,889.10,863.20,26582781,1.06%
26 Jul 2024,862.45,844.65,864.25,844.00,12081506,1.64%
25 Jul 2024,848.50,847.50,850.75,841.20,9522375,-0.41%
24 Jul 2024,852.00,864.20,868.00,847.20,19624845,-1.38%
23 Jul 2024,863.90,883.00,884.50,849.10,18279212,-1.47%
22 Jul 2024,876.80,881.45,895.00,868.00,14614111,-1.41%
19 Jul 2024,889.35,895.00,899.00,883.30,14562742,-0.47%
18 Jul 2024,893.55,880.65,894.90,877.50,19435183,1.46%
16 Jul 2024,880.70,882.30,888.10,874.30,11893692,-0.07%
15 Jul 2024,881.35,859.70,887.35,859.70,25392820,2.52%
12 Jul 2024,859.70,856.70,863.00,855.30,11446064,0.35%
11 Jul 2024,856.70,854.40,858.30,849.75,8501366,0.91%
10 Jul 2024,849.00,860.10,860.25,843.50,17343236,-1.43%
09 Jul 2024,861.30,859.90,869.95,856.00,13585081,0.59%
08 Jul 2024,856.25,859.75,865.00,853.50,10359800,-0.41%
05 Jul 2024,859.75,838.00,861.25,837.00,24873722,2.44%
04 Jul 2024,839.30,843.00,844.90,834.30,13372587,-0.08%
03 Jul 2024,839.95,829.00,843.85,825.00,23598009,1.67%
02 Jul 2024,826.15,844.00,846.30,823.15,21142840,-1.88%
01 Jul 2024,841.95,849.35,850.50,839.95,10967797,-0.82%
28 Jun 2024,848.95,846.90,864.00,844.00,23636388,0.59%
27 Jun 2024,844.00,843.90,847.40,838.25,20378887,-0.16%
26 Jun 2024,845.35,839.85,848.80,836.00,16281760,0.37%
25 Jun 2024,842.25,837.00,845.85,834.30,20917530,1.15%
24 Jun 2024,832.70,831.50,836.00,821.05,12715254,-0.43%
21 Jun 2024,836.30,844.90,848.05,828.60,18990090,-0.88%
20 Jun 2024,843.75,853.00,853.10,842.35,13985352,-1.04%
19 Jun 2024,852.60,846.80,860.60,841.00,32925140,0.91%
18 Jun 2024,844.90,841.55,851.50,840.25,14929083,0.68%
14 Jun 2024,839.20,845.00,849.90,835.10,12903496,-0.56%
13 Jun 2024,843.90,845.00,845.90,836.10,12523972,0.57%
12 Jun 2024,839.10,837.00,845.55,833.00,15071442,0.42%
11 Jun 2024,835.55,836.00,839.60,829.05,14754408,0.45%
10 Jun 2024,831.80,834.15,845.45,829.20,16725508,0.22%
07 Jun 2024,829.95,819.90,831.50,810.50,25061284,1.59%
06 Jun 2024,816.95,800.00,833.35,796.00,40555649,3.44%
05 Jun 2024,789.75,790.75,795.00,744.05,74256082,1.88%
04 Jun 2024,775.20,897.00,897.00,731.95,122381193,-14.40%
03 Jun 2024,905.65,863.55,912.00,856.75,64269020,9.07%
31 May 2024,830.35,830.70,835.00,817.10,22267336,0.54%
30 May 2024,825.85,821.40,836.00,819.30,17818705,0.39%
29 May 2024,822.65,828.40,834.45,819.30,14518232,-1.02%
28 May 2024,831.15,835.70,840.70,823.30,13818893,-0.31%
27 May 2024,833.70,832.60,839.40,823.00,12295193,0.62%
24 May 2024,828.60,830.00,841.25,827.00,12252075,-0.42%
23 May 2024,832.10,824.70,835.50,822.00,17497488,1.63%
22 May 2024,818.75,826.55,826.65,813.55,19239277,-1.43%
21 May 2024,830.65,821.00,836.30,819.60,14037801,1.18%
18 May 2024,821.00,822.00,823.00,819.20,960453,0.39%
17 May 2024,817.85,814.50,822.45,811.20,12492509,0.73%
16 May 2024,811.95,825.30,826.15,797.35,20536990,-1.02%
15 May 2024,820.30,821.00,825.30,818.05,9755062,0.26%
14 May 2024,818.20,813.00,822.40,807.90,10912462,1.16%
13 May 2024,808.80,819.85,819.85,798.60,15398505,-1.05%
10 May 2024,817.35,827.00,832.05,815.60,20543142,-0.30%
09 May 2024,819.80,811.90,839.65,803.55,49290254,1.11%
08 May 2024,810.80,802.60,822.00,799.50,27908322,1.11%
07 May 2024,801.90,812.00,814.65,793.20,16725013,-0.73%
06 May 2024,807.80,835.00,836.00,803.00,35283557,-2.84%
03 May 2024,831.45,834.80,836.20,820.00,22667634,0.17%
02 May 2024,830.05,826.90,833.90,825.00,19943724,0.46%
30 Apr 2024,826.25,826.50,834.85,819.90,27449073,-0.03%
29 Apr 2024,826.50,807.00,831.25,798.70,27302732,3.14%
26 Apr 2024,801.30,815.90,816.90,798.90,14964358,-1.40%
25 Apr 2024,812.70,770.65,814.40,769.65,36732974,5.12%
24 Apr 2024,773.10,778.50,778.50,770.20,7842615,0.01%
23 Apr 2024,773.00,770.35,777.70,765.55,12292429,0.90%
22 Apr 2024,766.10,754.15,769.00,750.45,17452186,2.09%
19 Apr 2024,750.45,734.50,752.00,732.05,10886554,0.76%
18 Apr 2024,744.80,752.05,759.95,742.00,14589648,-0.92%
16 Apr 2024,751.70,751.25,754.90,744.40,13338991,-0.77%
15 Apr 2024,757.50,759.80,763.30,748.75,11356572,-1.15%
12 Apr 2024,766.30,777.25,779.50,764.80,14408722,-1.64%
10 Apr 2024,779.05,766.50,780.70,763.65,14530669,1.94%
09 Apr 2024,764.20,768.45,772.45,761.10,7465892,-0.53%
08 Apr 2024,768.30,766.05,770.00,761.80,9797174,0.46%
05 Apr 2024,764.75,757.95,767.70,752.60,9939620,0.72%
04 Apr 2024,759.30,775.00,775.30,758.10,15889530,-1.52%
03 Apr 2024,771.05,764.90,772.60,760.15,19136981,0.61%
02 Apr 2024,766.40,758.20,768.75,753.35,15713063,1.07%
01 Apr 2024,758.30,759.05,761.50,752.10,9949971,0.79%
28 Mar 2024,752.35,737.75,759.55,736.90,21705116,2.60%
27 Mar 2024,733.30,743.00,745.85,730.20,30088789,-0.91%
26 Mar 2024,740.05,743.05,747.85,738.50,14678342,-0.89%
22 Mar 2024,746.70,743.85,748.80,741.40,15535921,0.32%
21 Mar 2024,744.30,742.00,750.60,740.55,15161161,1.09%
20 Mar 2024,736.25,725.15,738.95,719.80,25405455,1.72%
19 Mar 2024,723.80,730.00,734.35,721.15,15205043,-0.98%
18 Mar 2024,730.95,727.10,737.90,722.10,18145126,-0.13%
15 Mar 2024,731.90,739.25,746.55,723.00,29792241,-1.23%
14 Mar 2024,741.05,749.90,750.80,734.05,19730882,-0.83%
13 Mar 2024,747.25,758.65,763.70,743.00,27950252,-1.64%
12 Mar 2024,759.70,770.00,777.75,757.35,21529705,-1.81%
11 Mar 2024,773.70,790.00,792.80,770.55,16778340,-1.82%
07 Mar 2024,788.05,790.00,793.40,783.00,15497868,0.53%
06 Mar 2024,783.90,783.65,790.30,772.90,26710525,-0.01%
05 Mar 2024,783.95,769.50,786.95,769.10,18088847,1.54%
04 Mar 2024,772.05,774.40,777.00,769.00,9789141,-0.16%
02 Mar 2024,773.30,771.95,777.00,768.90,1158960,0.54%
01 Mar 2024,769.15,752.00,772.00,751.95,17348526,2.81%
29 Feb 2024,748.10,743.90,753.90,737.15,19217113,0.75%
28 Feb 2024,742.50,749.85,756.75,741.00,11263318,-0.98%
27 Feb 2024,749.85,758.90,762.35,742.20,13969393,-1.19%
26 Feb 2024,758.90,755.00,766.35,752.70,11355186,-0.02%
23 Feb 2024,759.05,765.90,770.50,755.00,14143636,-0.89%
22 Feb 2024,765.90,773.00,773.00,757.00,18799244,-0.73%
21 Feb 2024,771.50,760.65,777.50,759.60,21465311,1.50%
20 Feb 2024,760.10,759.05,763.50,754.00,12528399,0.11%
19 Feb 2024,759.25,758.70,765.00,750.00,13979584,0.60%
16 Feb 2024,754.70,763.45,774.60,753.35,27365121,-0.92%
15 Feb 2024,761.70,747.70,764.00,741.65,33941282,2.46%
14 Feb 2024,743.40,705.55,748.50,705.55,36782182,4.20%
13 Feb 2024,713.45,708.55,718.00,702.15,23351472,0.78%
12 Feb 2024,707.90,726.00,726.00,704.50,22873137,-2.39%
09 Feb 2024,725.25,703.65,728.35,694.20,43235061,3.67%
08 Feb 2024,699.55,680.40,718.90,678.50,74222434,3.60%
07 Feb 2024,675.25,655.05,677.95,655.00,41696232,3.84%
06 Feb 2024,650.25,644.45,655.00,637.70,14079390,1.14%
05 Feb 2024,642.95,647.10,654.80,638.75,28339525,-1.03%
02 Feb 2024,649.65,652.00,660.55,646.70,27471811,0.31%
01 Feb 2024,647.65,642.75,652.95,633.25,26587707,1.12%
31 Jan 2024,640.50,626.40,643.20,622.00,23270745,2.19%
30 Jan 2024,626.75,625.45,633.50,624.20,16966577,0.61%
29 Jan 2024,622.95,619.00,629.50,615.60,19572140,1.66%
25 Jan 2024,612.75,618.50,623.80,606.25,22684904,-0.90%
24 Jan 2024,618.30,609.95,622.35,603.10,19221835,2.18%
23 Jan 2024,605.10,627.00,634.90,600.65,30954343,-4.17%
20 Jan 2024,631.40,629.00,633.80,624.10,9886760,0.58%
19 Jan 2024,627.75,633.00,635.50,624.70,11675202,-0.09%
18 Jan 2024,628.30,625.80,633.45,619.05,14695436,0.37%
17 Jan 2024,626.00,624.00,636.80,623.00,30016308,-1.71%
16 Jan 2024,636.90,640.00,644.90,633.45,15025543,-0.50%
15 Jan 2024,640.10,638.90,645.50,636.10,16844018,1.03%
12 Jan 2024,633.60,623.80,636.50,621.10,16620797,2.16%
11 Jan 2024,620.20,626.00,627.15,618.50,15533860,-0.25%
10 Jan 2024,621.75,624.80,625.30,618.20,12742464,-0.58%
09 Jan 2024,625.40,632.00,634.35,624.50,13400235,-0.26%
08 Jan 2024,627.00,640.00,645.00,625.05,14739531,-2.33%
05 Jan 2024,641.95,645.00,651.75,637.75,15984585,-0.12%
04 Jan 2024,642.75,642.50,646.40,638.65,13883388,-0.11%
03 Jan 2024,643.45,639.35,648.00,635.80,14571772,0.63%
02 Jan 2024,639.45,641.35,648.00,633.85,15164482,-0.30%
01 Jan 2024,641.35,642.20,646.90,638.00,8295548,-0.11%
29 Dec 2023,642.05,645.50,649.60,639.55,13221898,-1.44%
28 Dec 2023,651.40,650.25,653.30,646.50,16982092,0.44%
27 Dec 2023,648.55,640.75,649.45,639.00,14417646,1.65%
26 Dec 2023,638.05,638.85,641.30,635.65,10153089,0.20%
22 Dec 2023,636.75,644.75,649.40,635.15,14998068,-1.09%
21 Dec 2023,643.75,632.15,648.95,627.50,19915516,1.15%
20 Dec 2023,636.45,658.70,660.40,633.95,22542056,-2.89%
19 Dec 2023,655.40,648.50,659.60,640.25,19964008,1.06%
18 Dec 2023,648.50,646.65,655.65,642.40,16221796,0.04%
15 Dec 2023,648.25,628.00,650.00,619.85,29813572,3.94%
14 Dec 2023,623.65,626.00,627.75,622.40,15813797,0.61%
13 Dec 2023,619.85,614.45,620.50,611.65,13977914,1.22%
12 Dec 2023,612.40,617.00,617.95,610.80,14494836,-0.30%
11 Dec 2023,614.25,615.00,619.90,613.10,11706255,0.02%
08 Dec 2023,614.15,610.00,616.80,605.35,17722136,0.40%
07 Dec 2023,611.70,610.00,612.55,605.00,10725706,0.53%
06 Dec 2023,608.45,614.00,614.00,604.55,21439069,0.03%
05 Dec 2023,608.25,595.05,611.30,595.05,36430152,2.28%
04 Dec 2023,594.70,588.00,596.00,584.55,26077882,4.01%
01 Dec 2023,571.75,567.00,574.20,566.55,10614230,1.24%
30 Nov 2023,564.75,569.75,570.20,563.65,19758998,-0.68%
29 Nov 2023,568.60,568.00,569.00,565.10,10299034,0.74%
28 Nov 2023,564.45,563.60,565.20,561.10,8153314,0.73%
24 Nov 2023,560.35,561.95,562.45,559.25,6529851,0.07%
23 Nov 2023,559.95,561.75,563.50,558.30,6376210,0.18%
22 Nov 2023,558.95,562.95,564.50,555.15,14909071,-0.45%
21 Nov 2023,561.50,566.00,566.65,561.00,14280013,-0.40%
20 Nov 2023,563.75,564.00,566.80,560.60,12714585,0.12%
17 Nov 2023,563.05,574.50,574.50,562.10,37173221,-3.69%
16 Nov 2023,584.65,584.70,588.00,582.90,8622660,-0.01%
15 Nov 2023,584.70,587.25,588.00,582.60,11397676,0.58%
13 Nov 2023,581.35,581.00,582.50,575.20,11282362,0.01%
12 Nov 2023,581.30,584.75,584.75,580.10,1947722,0.31%
10 Nov 2023,579.50,577.80,581.00,575.40,6773038,0.20%
09 Nov 2023,578.35,581.00,581.85,576.50,12434363,-0.34%
08 Nov 2023,580.30,581.90,582.60,579.00,15434808,0.09%
07 Nov 2023,579.75,574.80,581.20,572.60,17923281,0.94%
06 Nov 2023,574.35,582.00,582.50,573.25,16499138,-0.66%
03 Nov 2023,578.15,576.00,579.50,573.45,11371371,1.06%
02 Nov 2023,572.10,571.10,575.45,567.60,11148516,1.01%
01 Nov 2023,566.40,566.25,569.65,563.85,13575575,0.15%
31 Oct 2023,565.55,567.00,569.50,563.15,13039696,0.06%
30 Oct 2023,565.20,563.00,566.70,556.50,8593704,0.72%
27 Oct 2023,561.15,550.00,562.50,550.00,10415296,2.59%
26 Oct 2023,547.00,551.45,552.90,543.20,19424825,-1.65%
25 Oct 2023,556.20,558.60,560.80,553.60,12134624,0.59%
23 Oct 2023,552.95,563.10,566.00,551.00,11875035,-1.80%
20 Oct 2023,563.10,569.90,570.00,562.10,11110988,-1.42%
19 Oct 2023,571.20,569.80,574.00,567.00,11441499,-0.25%
18 Oct 2023,572.65,577.75,579.25,569.35,11777454,-0.66%
17 Oct 2023,576.45,577.70,579.95,575.30,10765224,0.14%
16 Oct 2023,575.65,576.00,578.75,571.50,11290293,-0.09%
13 Oct 2023,576.15,577.75,581.30,574.80,19064577,-1.69%
12 Oct 2023,586.05,590.80,593.00,585.00,11983797,-0.39%
11 Oct 2023,588.35,596.90,597.00,587.60,14220119,-0.56%
10 Oct 2023,591.65,587.00,595.00,585.75,10373508,1.12%
09 Oct 2023,585.10,588.00,589.00,581.55,9189597,-1.54%
06 Oct 2023,594.25,593.40,598.95,592.20,8216780,0.35%
05 Oct 2023,592.15,590.00,594.35,587.10,13248028,1.01%
04 Oct 2023,586.25,600.00,600.45,584.45,24914612,-2.77%
03 Oct 2023,602.95,596.60,604.90,589.60,15322196,0.74%
29 Sep 2023,598.55,592.85,600.00,591.30,12189735,1.46%
28 Sep 2023,589.95,591.25,595.20,588.85,21960816,0.03%
